Designator,Mid X,Mid Y,Rotation,Layer
C5,137.725,-113.88,180.0,top
C6,137.725,-111.37,180.0,top
C7,118.5,-98.275,90.0,top
C8,137.725,-108.86,180.0,top
C9,145.5,-118.5,270.0,top
D1,134.5,-110.2125,270.0,top
D2,141.775,-118.505,180.0,top
J2,121.0,-109.81,180.0,top
J3,149.5,-110.35,180.0,top
J4,128.45,-122.0,0.0,top
R1,117.0,-98.275,90.0,top
R2,130.0,-114.5,90.0,top
R3,126.0,-114.775,270.0,top
R4,134.5,-113.6275,90.0,top
R5,138.225,-118.5,0.0,top
SW1,149.5,-91.52,0.0,top
SW2,120.67,-91.5,180.0,top
U1,143.0,-112.15,270.0,top
U2,135.0025,-92.96,0.0,top
